,x,y,z
611.1,18.869593,23.674334,22.24945
648.13,-20.710188,-28.372707,35.99929
V45.4,45.082493,6.2311406,28.937767
494,1.3527857,-13.882866,-7.3388867
V15.29,2.692156,12.416727,16.977932
V14.9,-0.5754566,-5.8834867,24.808224
V14.6,-6.482536,4.3091936,22.669226
V72.60,0.34330252,6.968416,-32.769558
634.91,54.69737,-19.544273,4.693655
647.64,34.15973,23.531826,-8.491301
585.2,-63.39703,-52.895958,131.82698
585.1,23.431225,-19.296503,25.933893
V23.81,-8.632844,-31.597324,5.124607
642.52,39.32108,78.00351,35.931976
649.13,-19.510315,-21.812689,43.547714
649.03,-42.855774,-18.562517,55.906403
649.04,60.51252,47.66528,-50.84608
V23.83,0.08620468,-46.79977,15.663549
611.72,16.731457,34.19995,27.681484
V73.98,-9.936699,49.28801,-2.1092193
616.89,-45.250122,1.1015774,-5.0459023
493.91,27.023355,-7.8244534,-23.434156
519.11,34.04545,20.665356,5.48566
V12.72,23.462633,50.966652,2.2097363
V85.37,-2.9816177,37.436275,19.778355
295.82,-36.20483,16.065443,41.45724
V26.29,-0.87363696,36.481342,-11.358955
V45.74,15.798651,-24.996769,53.3631
642.4,27.631943,21.376013,-6.2279296
462,-72.138115,-185.76585,120.07449
624.9,47.487293,62.99527,-1.0030301
626.3,-20.883553,33.30742,-16.76644
626.5,-31.152046,23.810892,-12.187731
627.9,179.87556,-959.5209,240.73761
626.7,-24.980606,18.861755,-17.967306
627.3,-21.568872,-17.379599,19.132015
839.21,40.1114,-7.1903825,46.580704
623.9,-37.103256,0.63046104,-6.484826
V05.9,-9.661139,-20.35751,-43.118084
V67.2,-15.775226,-11.951824,-25.53762
V15.52,-5.125447,17.318895,20.15158
643.21,-70.37684,-32.552254,-102.05211
592,-35.4535,-41.60023,22.089396
625.6,-8.517234,-35.22968,-12.000952
518.82,22.414068,-2.0234435,1.5869093
V15.1,20.716742,9.538294,-23.39793
611.82,13.689204,21.042782,19.954994
V14.7,-15.182359,7.547766,34.316956
V45.87,14.064422,-28.31748,18.686419
614.4,54.544792,6.23815,45.4665
634.92,-58.91553,-81.888985,27.654604
648.92,-41.22938,-7.473204,13.115569
648.81,-45.875416,-55.17133,-1.5613841
648.84,24.559952,16.402372,-3.8658743
648.83,-21.36135,-20.379509,50.575085
648.94,34.376663,42.908817,-19.299164
311,5.6408057,10.580672,-12.406975
V15.7,-34.446827,-21.853012,-0.3483772
V15.89,2.8264093,-4.9649153,-11.9541025
V12.55,10.525131,8.640444,23.942356
642.51,-27.248138,2.6514785,21.029325
593.9,20.096312,-17.741282,16.83608
V74.2,-9.667723,41.733727,7.9115725
V71.4,-6.846532,18.604591,29.695934
V70.9,-2.518754,-2.056755,-22.235703
V71.09,16.264055,21.129179,-16.649584
618.89,-6.9988694,-1.7994949,2.6108024
616.5,-46.978165,-1.0547609,-11.943722
616.11,-32.404633,0.061569486,-7.573085
614.8,-23.09537,13.959439,7.1558957
579.8,-13.214834,9.26112,-24.153803
745.5,23.00545,6.4430037,-19.378902
627.1,-25.998726,33.350243,-0.055696186
V44.8,4.2904787,-23.240868,8.034451
519.9,23.51771,-17.422485,-7.179436
300.3,10.631701,17.011013,-11.811519
V45.51,45.49812,-29.028728,-49.01974
723.1,37.690384,1.6266005,42.633743
296.34,44.608467,24.20835,-5.647662
V67.6,-53.842907,-17.95672,27.117878
V68.9,-1.3255771,-27.956665,-40.029434
610.3,23.501669,25.493265,15.004518
610.2,18.596184,38.678066,19.226923
627.4,-34.14446,-20.567602,25.781214
627.2,-330.1079,1579.7357,-1418.2052
V26.0,-2.6899743,25.038342,-5.1279464
621.9,-26.811132,27.599619,-1.9592999
646.9,1.3736598,10.166031,-2.2861252
V65.3,-47.38897,36.86773,19.612125
640.03,52.03529,3.6372187,14.749286
621.2,-26.296137,22.412252,-0.66137487
587,-18.75214,-2.4874558,44.29424
E000.8,1.0737729,-35.796284,53.748528
V87.2,-12.927206,6.4992824,-46.314476
518.83,11.460754,-20.158564,-1.3062493
518.84,22.231182,0.83975923,-3.0106297
721.42,49.329433,10.680038,30.768314
V85.54,-14.971623,-19.499798,-47.765705
786.52,14.020889,53.506943,-19.381407
618.9,11.026607,-38.477856,-10.959808
618.2,138.10619,448.83145,207.20122
618.4,-8.7120695,-60.557793,-4.337913
V45.79,2.8445828,6.525257,19.449175
V46.3,-8.505036,-18.777363,-5.989103
617.9,-17.228302,18.280823,10.6580715
847.1,-23.614038,-19.900229,-74.1637
746.1,27.416216,14.035676,-28.159899
V72.61,-12.649524,-29.365011,-28.098043
V85.22,-29.524065,38.53053,27.316963
V85.23,42.04412,-49.380577,-9.345571
V85.21,-35.824047,43.360672,17.318598
V85.24,-33.05199,37.34419,21.506445
V85.25,-30.598392,30.129484,19.386454
682.7,11.411551,15.763752,-57.83921
518,6.40567,-20.191128,-6.826232
590.9,8.805033,-7.0547223,-1.4325144
V26.81,-4.815041,39.572033,-15.109437
V76.19,-24.612822,-17.959702,3.0895028
V76.12,-15.619232,-11.614398,0.39460343
V76.11,-26.081125,-32.507793,-3.391978
V10.44,-35.506214,115.16668,-59.415848
V10.43,9.223857,29.098755,9.338702
V76.46,3.6789818,26.510395,10.525384
V25.9,60.354977,-33.522423,-54.80536
V67.59,-47.35836,21.881075,-13.621655
515,-44.937717,-26.34647,-1.7522733
795,-4.3111243,-3.3891728,-4.4609456
590.8,24.387691,-10.958625,14.395107
596.7,-28.080692,-24.33352,-20.078617
596.59,-10.676319,-29.416592,-12.444986
596.1,9.048223,41.154152,-34.85765
V15.59,-2.7087145,15.12202,25.848345
V23.85,-13.758347,-31.598959,14.042166
789.02,-8.372661,-59.84276,32.4287
366.12,7.3475075,-35.858894,1.5829293
648.74,-5.2088623,-48.36648,-128.0279
644.2,5.361209,-32.938267,40.002724
626.8,-23.887987,23.447477,-12.404733
564.1,-16.50399,3.721555,-27.771753
518.1,4.5560923,-10.657826,56.114502
V12.2,9.625207,-7.031683,-23.529657
V11.9,23.961458,-37.510017,2.2840128
599.71,-32.0633,-18.047743,-13.829674
786.09,-17.965294,-5.8055534,8.765128
V46.2,34.65266,-20.484371,7.954236
V12.50,12.384687,-3.864929,-17.628143
V12.70,-10.644941,8.244005,54.91515
648.43,9.261044,-44.608418,32.036312
648.44,31.073298,33.308247,-1.5750674
386.11,36.87063,-30.704794,-12.10596
